__,____,O/N,1W,2W,1M,3M,6M,9M,1Y
2023-03-22,____,2.0000,2.0600,2.4000,2.4400,2.5100,2.5600,2.6100,2.6800
2023-03-22,____,2.0300,2.1000,2.2500,2.3500,2.3800,2.5200,2.5800,2.6500
2023-03-22,____,2.0200,2.1000,2.2500,2.4100,2.4600,2.5600,2.6300,2.6800
2023-03-22,____,2.0100,2.0600,2.2400,2.3700,2.4900,2.5000,2.6300,2.6700
2023-03-22,____,2.0100,2.0600,2.2600,2.4000,2.4900,2.5700,2.6300,2.7000
2023-03-22,____,2.1100,2.0700,3.0000,2.1500,2.3500,2.4500,2.5000,2.6000
2023-03-22,____,2.0400,2.0800,2.3000,2.4000,2.4900,2.5700,2.6300,2.7000
2023-03-22,____,2.0400,2.0900,2.2000,2.4000,2.4500,2.5500,2.6000,2.6800
2023-03-22,____,2.0300,2.1000,2.5000,2.4000,2.5000,2.5700,2.6400,2.7000
2023-03-22,____,2.0200,2.0700,2.2400,2.4300,2.4800,2.5600,2.6200,2.6900
2023-03-22,____,2.0300,2.0700,2.2500,2.4000,2.4900,2.5700,2.6300,2.7000
2023-03-22,____,2.0500,2.0800,2.2700,2.4000,2.4700,2.5000,2.6000,2.6800
2023-03-22,____,2.0400,2.1500,2.2700,2.4000,2.5000,2.6000,2.7000,2.7500
2023-03-22,___,2.0200,2.0700,2.2500,2.3900,2.4900,2.5600,2.6300,2.7000
2023-03-22,____,2.0200,2.0800,2.2500,2.3800,2.4500,2.5700,2.6400,2.6900
2023-03-21,____,2.4500,2.1900,2.4200,2.3500,2.4300,2.5300,2.6000,2.6700
2023-03-21,____,2.4000,2.2000,2.5000,2.5000,2.5000,2.5500,2.6000,2.6600
2023-03-21,____,2.4500,2.1800,2.4200,2.3900,2.4900,2.5800,2.6500,2.7300
2023-03-21,____,2.4500,2.2100,2.5500,2.4400,2.5500,2.5900,2.6300,2.6900
2023-03-21,____,2.4700,2.2000,2.4200,2.3900,2.3800,2.5200,2.5800,2.6500
2023-03-21,____,2.4500,2.2200,2.4800,2.4100,2.4500,2.5500,2.6000,2.6600
2023-03-21,____,2.4500,2.1800,2.5100,2.3900,2.4900,2.5000,2.6300,2.6900
2023-03-21,____,2.4500,2.1800,2.5100,2.4000,2.4900,2.5800,2.6500,2.7200
2023-03-21,____,2.4300,2.1900,2.4200,2.1500,2.3500,2.4500,2.5000,2.6000
2023-03-21,____,2.4700,2.2000,2.4300,2.4000,2.4900,2.5800,2.6500,2.7100
2023-03-21,____,2.4700,2.2100,2.3000,2.4000,2.4500,2.5500,2.6000,2.6800
2023-03-21,____,2.4800,2.3000,2.7000,2.4000,2.5000,2.5900,2.6500,2.7300
2023-03-21,____,2.4600,2.2000,2.4300,2.4300,2.4900,2.5800,2.6400,2.7000
2023-03-21,____,2.4700,2.2100,2.4900,2.4000,2.4900,2.5800,2.6500,2.7200
2023-03-21,____,2.4900,2.2000,2.5200,2.4000,2.4900,2.5000,2.6200,2.7000
2023-03-21,____,2.4800,2.3000,2.5300,2.4000,2.5500,2.6500,2.7000,2.8000
2023-03-21,___,2.4500,2.1800,2.4200,2.3900,2.4900,2.5800,2.6400,2.7200
2023-03-21,____,2.4800,2.1300,2.4000,2.4000,2.5000,2.5800,2.6400,2.7100
_____,_____,,,,,,,,
,www.chinamoney.com.cn,,,,,,,,
