AU(T+D).SGE,#NAME?,,,,,,,,,,,,,,,,,,,,,,,
__,___,___,___,___,_5_,_4_,_3_,_2_,_1_,_1_,_2_,_3_,_4_,_5_,_5_,_4_,_3_,_2_,_1_,_1_,_2_,_3_,_4_,_5_
Time,last,volume,amt,settle,ask5,ask4,ask3,ask2,ask1,bid1,bid2,bid3,bid4,bid5,asize5,asize4,asize3,asize2,asize1,bsize1,bsize2,bsize3,bsize4,bsize5
#NAME?,388.400,1794000.000,697865680.000,,389.550,389.500,389.450,389.200,388.690,388.400,388.300,388.200,388.060,388.010,98.000,54.000,1.000,4.000,9.000,35.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:00,388.400,1794000.000,697865680.000,,389.500,389.450,389.200,388.690,388.680,388.400,388.300,388.200,388.060,388.010,54.000,1.000,4.000,9.000,4.000,35.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:01,388.400,1794000.000,697865680.000,,389.450,389.200,388.690,388.680,388.670,388.400,388.300,388.200,388.060,388.010,1.000,4.000,9.000,4.000,5.000,35.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:01,388.400,1794000.000,697865680.000,,389.200,388.690,388.680,388.670,388.660,388.400,388.300,388.200,388.060,388.010,4.000,9.000,4.000,5.000,4.000,35.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:01,388.400,1794000.000,697865680.000,,388.690,388.680,388.670,388.660,388.650,388.400,388.300,388.200,388.060,388.010,9.000,4.000,5.000,4.000,3.000,35.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:01,388.400,1794000.000,697865680.000,,388.680,388.670,388.660,388.650,388.640,388.400,388.300,388.200,388.060,388.010,4.000,5.000,3.000,3.000,2.000,35.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:02,388.400,1794000.000,697865680.000,,388.670,388.660,388.650,388.640,388.630,388.400,388.300,388.200,388.060,388.010,5.000,3.000,3.000,1.000,1.000,35.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:02,388.400,1794000.000,697865680.000,,388.680,388.670,388.660,388.650,388.640,388.400,388.300,388.200,388.060,388.010,4.000,5.000,3.000,3.000,1.000,35.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:03,388.400,1794000.000,697865680.000,,388.650,388.640,388.630,388.620,388.610,388.400,388.300,388.200,388.060,388.010,3.000,1.000,4.000,2.000,3.000,35.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:03,388.400,1794000.000,697865680.000,,388.640,388.630,388.620,388.610,388.600,388.400,388.300,388.200,388.060,388.010,1.000,4.000,2.000,3.000,1.000,35.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:03,388.400,1794000.000,697865680.000,,388.640,388.630,388.620,388.610,388.600,388.400,388.300,388.200,388.060,388.010,1.000,4.000,2.000,2.000,2.000,35.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:04,388.400,1794000.000,697865680.000,,388.670,388.660,388.650,388.640,388.630,388.400,388.300,388.200,388.060,388.010,5.000,3.000,3.000,1.000,4.000,35.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:04,388.400,1794000.000,697865680.000,,388.660,388.650,388.640,388.630,388.620,388.400,388.300,388.200,388.060,388.010,3.000,3.000,1.000,4.000,2.000,35.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:04,388.400,1794000.000,697865680.000,,388.660,388.650,388.640,388.630,388.620,388.400,388.300,388.200,388.060,388.010,3.000,3.000,1.000,4.000,1.000,35.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:06,388.400,1794000.000,697865680.000,,388.650,388.640,388.630,388.620,388.610,388.400,388.300,388.200,388.060,388.010,3.000,1.000,4.000,1.000,2.000,35.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:06,388.400,1794000.000,697865680.000,,388.640,388.630,388.620,388.610,388.600,388.400,388.300,388.200,388.060,388.010,1.000,4.000,1.000,2.000,3.000,35.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:07,388.400,1794000.000,697865680.000,,388.630,388.620,388.610,388.600,388.590,388.400,388.300,388.200,388.060,388.010,4.000,1.000,1.000,3.000,1.000,35.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:07,388.400,1794000.000,697865680.000,,388.620,388.610,388.600,388.590,388.580,388.400,388.300,388.200,388.060,388.010,1.000,1.000,3.000,1.000,1.000,35.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:07,388.400,1794000.000,697865680.000,,388.610,388.600,388.590,388.580,388.570,388.400,388.300,388.200,388.060,388.010,1.000,3.000,1.000,1.000,3.000,35.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:08,388.400,1794000.000,697865680.000,,388.600,388.590,388.580,388.570,388.560,388.400,388.300,388.200,388.060,388.010,3.000,1.000,1.000,2.000,2.000,35.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:09,388.400,1824000.000,709517680.000,,388.590,388.580,388.570,388.560,388.550,388.400,388.300,388.200,388.060,388.010,1.000,1.000,2.000,2.000,3.000,20.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:09,388.400,1824000.000,709517680.000,,388.580,388.570,388.560,388.550,388.540,388.400,388.300,388.200,388.060,388.010,1.000,2.000,2.000,3.000,1.000,20.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:09,388.400,1824000.000,709517680.000,,388.570,388.560,388.550,388.540,388.530,388.400,388.300,388.200,388.060,388.010,2.000,2.000,2.000,1.000,1.000,20.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:10,388.400,1824000.000,709517680.000,,388.560,388.550,388.540,388.530,388.520,388.400,388.300,388.200,388.060,388.010,2.000,2.000,1.000,1.000,4.000,20.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:10,388.400,1824000.000,709517680.000,,388.560,388.550,388.540,388.530,388.520,388.400,388.300,388.200,388.060,388.010,2.000,2.000,1.000,1.000,3.000,20.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:10,388.400,1824000.000,709517680.000,,388.560,388.550,388.540,388.530,388.520,388.400,388.300,388.200,388.060,388.010,1.000,2.000,1.000,1.000,3.000,20.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:11,388.400,1824000.000,709517680.000,,388.560,388.550,388.540,388.530,388.520,388.400,388.300,388.200,388.060,388.010,1.000,2.000,1.000,1.000,2.000,20.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:11,388.400,1824000.000,709517680.000,,388.560,388.550,388.540,388.530,388.520,388.400,388.300,388.200,388.060,388.010,1.000,1.000,1.000,1.000,2.000,20.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:12,388.400,1824000.000,709517680.000,,388.550,388.540,388.530,388.520,388.510,388.400,388.300,388.200,388.060,388.010,1.000,1.000,1.000,2.000,2.000,20.000,7.000,11.000,5.000,3.000
2022-10-21 09:00:12,388.400,1824000.000,709517680.000,,388.540,388.530,388.520,388.510,388.500,388.400,388.300,388.200,388.060,388.010,1.000,1.000,1.000,2.000,2.000,20.000,7.000,11.000,5.000,3.000
