AU(T+D).SGE,#NAME?,,,,,,,,,,,,,,,,,,,,,,,
__,___,___,___,___,_5_,_4_,_3_,_2_,_1_,_1_,_2_,_3_,_4_,_5_,_5_,_4_,_3_,_2_,_1_,_1_,_2_,_3_,_4_,_5_
Time,last,volume,amt,settle,ask5,ask4,ask3,ask2,ask1,bid1,bid2,bid3,bid4,bid5,asize5,asize4,asize3,asize2,asize1,bsize1,bsize2,bsize3,bsize4,bsize5
#NAME?,391.300,8184000.000,3189883340.000,,391.600,391.570,391.500,391.480,391.300,390.000,389.890,389.100,389.000,388.520,1.000,1.000,2.000,1.000,2.000,5.000,10.000,4.000,50.000,3.000
2022-10-24 09:00:00,392.500,8236000.000,3210268620.000,,393.000,392.880,392.800,392.500,392.400,392.000,390.000,389.890,389.100,389.000,25.000,1.000,50.000,91.000,4.000,6.000,5.000,10.000,4.000,50.000
2022-10-24 09:00:00,392.000,8248000.000,3214974420.000,,393.300,393.000,392.880,392.800,392.500,392.010,392.000,390.000,389.890,389.100,1.000,25.000,1.000,50.000,91.000,3.000,4.000,5.000,10.000,4.000
2022-10-24 09:00:01,392.500,8268000.000,3222824400.000,,393.000,392.880,392.800,392.500,392.490,392.010,392.000,391.450,391.390,391.340,25.000,1.000,50.000,83.000,1.000,3.000,4.000,4.000,4.000,4.000
2022-10-24 09:00:01,392.500,8268000.000,3222824400.000,,392.880,392.800,392.500,392.490,392.480,392.180,392.020,392.010,392.000,391.490,1.000,50.000,83.000,1.000,1.000,9.000,4.000,3.000,4.000,4.000
2022-10-24 09:00:01,392.490,8270000.000,3223609380.000,,393.300,393.000,392.880,392.800,392.500,392.180,392.020,392.010,392.000,391.490,1.000,25.000,1.000,50.000,82.000,10.000,4.000,3.000,4.000,4.000
2022-10-24 09:00:01,392.490,8270000.000,3223609380.000,,393.000,392.880,392.800,392.500,392.490,392.020,392.010,392.000,391.490,391.450,25.000,1.000,50.000,86.000,4.000,4.000,3.000,4.000,4.000,4.000
2022-10-24 09:00:02,392.490,8270000.000,3223609380.000,,392.880,392.800,392.500,392.490,392.480,392.080,392.030,392.020,392.010,392.000,1.000,50.000,86.000,4.000,4.000,9.000,1.000,4.000,3.000,4.000
2022-10-24 09:00:02,392.490,8270000.000,3223609380.000,,392.880,392.800,392.500,392.490,392.480,392.090,392.080,392.030,392.020,392.010,1.000,50.000,86.000,4.000,4.000,2.000,10.000,1.000,4.000,3.000
2022-10-24 09:00:02,392.490,8270000.000,3223609380.000,,392.880,392.800,392.500,392.490,392.480,392.100,392.090,392.080,392.030,392.020,1.000,50.000,86.000,4.000,4.000,2.000,2.000,10.000,1.000,4.000
2022-10-24 09:00:02,392.110,8274000.000,3225177820.000,,392.880,392.800,392.500,392.490,392.470,392.100,392.090,392.080,392.030,392.020,1.000,50.000,86.000,4.000,2.000,2.000,2.000,10.000,1.000,4.000
2022-10-24 09:00:03,392.460,8280000.000,3227531180.000,,392.500,392.490,392.480,392.470,392.460,392.090,392.080,392.030,392.020,392.010,86.000,4.000,1.000,2.000,1.000,2.000,10.000,1.000,4.000,3.000
2022-10-24 09:00:03,392.090,8284000.000,3229099540.000,,392.490,392.480,392.470,392.460,392.450,392.100,392.080,392.030,392.020,392.010,4.000,1.000,1.000,1.000,1.000,2.000,9.000,1.000,4.000,3.000
